,kl,beta,iterations,model,accuracy
0,0.25183231950514606,1.0942901234567912,21,babylm_flamingo_2024,0.5263157894736842
1,0.2500640991807403,0.5946787837219948,51,babylm_git_2024,0.5935672514619883
2,0.258559994902601,0.02601547020271414,65,blip,0.49707602339181284
3,0.24984149707154157,0.0828818015546422,41,bridgetower,0.7309941520467836
4,0.25557277095173403,0.04632487425697415,45,clip_base,0.6081871345029239
5,0.2564625205751343,0.032108291418992144,57,clip_large,0.5935672514619883
6,0.25840366434378953,0.02601547020271414,65,cvcl,0.2807017543859649
7,0.2541403566689291,0.05444863587867816,49,flava,0.6052631578947368
8,0.2577511760830955,0.25348079561042636,39,siglip,0.5409356725146199
9,0.252265465574408,0.04429393385154816,47,vilt,0.6549707602339181
