text1,image1
human_face,images/11.png
human_face,images/12.png
human_face,images/13.png
human_face,images/14.png
human_face,images/15.png
human_face,images/16.png
human_face,images/17.png
human_face,images/18.png
human_face,images/19.png
human_body,images/21.png
human_body,images/22.png
human_body,images/23.png
human_body,images/24.png
human_body,images/25.png
human_body,images/26.png
human_body,images/27.png
human_body,images/28.png
human_body,images/29.png
animal_face,images/31.png
animal_face,images/32.png
animal_face,images/33.png
animal_face,images/34.png
animal_face,images/35.png
animal_face,images/36.png
animal_face,images/37.png
animal_face,images/38.png
animal_face,images/39.png
animal_body,images/41.png
animal_body,images/42.png
animal_body,images/43.png
animal_body,images/44.png
animal_body,images/45.png
animal_body,images/46.png
animal_body,images/47.png
animal_body,images/48.png
animal_body,images/49.png
natural_big,images/51.png
natural_big,images/52.png
natural_big,images/53.png
natural_big,images/54.png
natural_big,images/55.png
natural_big,images/56.png
natural_big,images/57.png
natural_big,images/58.png
natural_big,images/59.png
natural_small,images/61.png
natural_small,images/62.png
natural_small,images/63.png
natural_small,images/64.png
natural_small,images/65.png
natural_small,images/66.png
natural_small,images/67.png
natural_small,images/68.png
natural_small,images/69.png
artificial_big,images/71.png
artificial_big,images/72.png
artificial_big,images/73.png
artificial_big,images/74.png
artificial_big,images/75.png
artificial_big,images/76.png
artificial_big,images/77.png
artificial_big,images/78.png
artificial_big,images/79.png
artificial_small,images/81.png
artificial_small,images/82.png
artificial_small,images/83.png
artificial_small,images/84.png
artificial_small,images/85.png
artificial_small,images/86.png
artificial_small,images/87.png
artificial_small,images/88.png
artificial_small,images/89.png
