age_bin,prop,trial
1.5,0.5555555555555556,37
1.5,0.5350553505535055,38
1.5,0.5588235294117647,39
1.5,0.5687203791469194,40
1.5,0.5313807531380753,53
1.5,0.5783132530120482,54
1.5,0.5284552845528455,55
1.5,0.5478260869565217,56
1.5,0.5247148288973384,45
1.5,0.5328185328185329,46
1.5,0.5483870967741935,47
1.5,0.5570175438596491,48
1.5,0.5365853658536586,61
1.5,0.5637860082304527,62
1.5,0.5683760683760684,63
1.5,0.5851528384279476,64
1.5,0.5551020408163265,65
1.5,0.5546875,66
1.5,0.5833333333333334,67
1.5,0.5817307692307693,68
1.5,0.5390625,41
1.5,0.5277777777777778,42
1.5,0.5275590551181102,43
1.5,0.5727272727272728,44
1.5,0.5285171102661597,49
1.5,0.5495867768595042,50
1.5,0.537117903930131,51
1.5,0.5641025641025641,52
1.5,0.5461847389558233,57
1.5,0.5413223140495868,58
1.5,0.5368852459016393,59
1.5,0.5490196078431373,60
2,0.5520538375516638,69
2,0.6465337865361824,70
2,0.7099365185874301,71
2,0.6406828103625257,72
2,0.5773205064746981,73
2,0.5989928563500215,74
2,0.5929320953209966,75
2,0.5567799743060402,76
2.5,0.7494090244127518,1
2.5,0.6815564816382208,2
2.5,0.7884086240058595,3
2.5,0.8078960888227145,4
2.5,0.91681921938176,5
2.5,0.8835306313948144,6
2.5,0.857911482396656,7
2.5,0.8482052381560853,8
2.5,0.7371913615675502,9
2.5,0.7124775808439751,10
2.5,0.7926140131025751,11
2.5,0.7454654532452278,12
2.5,0.7517516670081721,13
2.5,0.8278258546704996,14
2.5,0.7861320710782358,15
2.5,0.8085726929552374,16
2.5,0.7715635409983783,17
2.5,0.618370662950602,18
2.5,0.8338305393449924,19
2.5,0.7123232376872508,20
2.5,0.8531446052323067,21
2.5,0.8279011453768084,22
2.5,0.6520872057872388,23
2.5,0.7057793815076698,24
2.5,0.6024980129210971,25
2.5,0.6319112945394917,26
2.5,0.804835720902357,27
2.5,0.746198104143242,28
2.5,0.7724821116349961,29
2.5,0.7227826064647538,30
2.5,0.7257577860734665,31
2.5,0.79880869831989,32
2.5,0.8295124669604023,33
2.5,0.7836752891972859,34
2.5,0.8253663512626753,35
2.5,0.9021698294778175,36
